date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20170824,0,SO2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,,2,2,2,,6
20170824,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,0,NO2,66,55,77,65,81,96,78,43,8,109,33,39,42,87,90,105,29,33,18,15,2,34,47,4,51,,,47,10,,62,86,81,,83
20170824,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,0,O3,18,12,2,4,5,2,9,3,79,2,36,51,32,2,11,2,22,40,75,42,53,2,2,51,3,,,2,2,,23,4,9,,2
20170824,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,0,CO,0.9,0.8,0.6,0.9,0.4,1,0.7,0.7,0.5,0.9,0.4,0.4,0.5,0.5,0.9,1.1,0.5,0.4,0.4,0.4,0.3,0.5,0.6,0.3,0.3,,,0.1,0.5,,0.7,0.7,0.4,,1.3
20170824,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,1,SO2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,2,3,,3,3,2,,5
20170824,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,1,NO2,77,46,71,70,81,93,68,33,7,105,31,51,49,83,112,86,26,34,12,13,27,27,44,5,51,,,41,15,,80,93,70,,72
20170824,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,1,O3,6,2,2,2,2,2,7,2,79,2,33,39,28,2,2,2,17,40,79,42,19,2,2,42,2,,,2,2,,2,2,11,,2
20170824,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,1,CO,0.9,0.7,0.6,0.9,0.4,1,0.6,0.8,0.4,0.8,0.4,0.5,0.6,0.6,1.1,1.2,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.3,0.3,,,0.1,0.5,,0.7,0.8,0.8,,1
20170824,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,2,SO2,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,,,2,3,,2,3,4,,8
20170824,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,2,NO2,88,43,69,72,83,88,67,27,15,104,25,68,54,72,111,75,43,27,12,18,8,23,36,4,49,,,37,26,,78,86,75,,67
20170824,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,2,O3,2,2,2,2,2,2,5,2,43,2,45,21,21,2,2,2,2,47,76,27,27,2,2,50,2,,,2,3,,2,2,2,,2
20170824,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,2,CO,1.1,0.8,0.7,0.9,0.5,1,0.5,0.8,0.4,0.8,0.3,0.5,0.5,0.6,1.1,1.1,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.3,0.3,,,0.1,0.7,,0.8,0.8,1.4,,1.1
20170824,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,3,SO2,2,2,2,2,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,2,3,,2,,3,,11
20170824,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,3,NO2,83,39,65,68,79,80,57,25,19,93,27,52,45,65,102,76,44,29,15,11,7,26,26,5,47,,,49,22,,73,,75,,61
20170824,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,3,O3,2,2,2,2,2,2,5,3,34,3,31,32,32,2,2,2,2,44,72,42,24,2,2,50,2,,,2,3,,2,,2,,2
20170824,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,3,CO,1.1,0.8,0.8,0.8,0.6,1,0.6,0.9,0.4,0.7,0.4,0.5,0.5,0.5,1.1,1,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.3,0.4,,,0.1,0.7,,0.9,,0.7,,1.1
20170824,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,4,SO2,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,2,3,,2,,4,,12
20170824,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,4,NO2,79,47,69,72,75,76,70,22,23,99,42,67,63,56,95,60,39,23,16,10,2,17,18,7,44,,,53,17,,73,,72,,53
20170824,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170824,4,O3,2,2,2,2,,2,3,2,24,2,21,6,15,2,2,12,2,52,57,40,30,2,2,43,2,,,2,2,,2,,2,,2
20170824,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
