date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20171115,0,SO2,2,4,3,3,3,2,6,2,4,7,14,4,4,3,5,7,7,7,3,2,2,4,10,2,16,3,2,5,3,9,7,5,4,17,21
20171115,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171115,0,NO2,70,58,67,76,72,76,70,55,27,73,54,40,58,69,75,86,67,22,39,26,44,56,49,7,59,16,7,75,64,47,75,76,77,88,100
20171115,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171115,0,O3,2,4,2,2,2,2,2,2,26,2,30,2,3,2,2,2,5,32,19,25,10,2,7,48,7,39,50,2,2,3,2,2,3,2,2
20171115,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171115,0,CO,0.9,0.9,0.7,0.9,0.7,0.8,1,0.7,0.5,0.9,0.7,0.6,0.1,1.4,1.1,1.1,1,0.9,0.5,1.2,0.7,1.8,1.7,0.6,1,0.4,0.1,1.1,0.9,2.4,0.9,0.9,0.7,1.6,1.6
20171115,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171115,1,SO2,2,4,3,3,5,2,6,2,4,7,10,4,4,3,5,6,6,7,2,2,2,3,6,2,9,3,2,5,2,6,5,4,4,16,10
20171115,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171115,1,NO2,66,62,67,71,75,74,65,54,19,76,50,38,58,64,75,88,63,16,39,22,27,56,33,10,57,10,9,63,55,44,73,72,74,85,80
20171115,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171115,1,O3,2,4,2,2,2,2,2,2,34,2,32,2,3,2,2,2,5,36,18,27,17,2,25,42,9,43,45,2,2,2,2,2,3,2,2
20171115,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171115,1,CO,0.9,0.7,0.6,0.6,0.9,0.8,1,0.8,0.4,0.9,0.7,0.7,0.1,1.3,1.1,1,1,0.8,0.5,1.2,0.6,1.3,1.2,0.6,0.7,0.3,0.2,1,1.1,1.8,0.7,0.7,0.8,1.5,1
20171115,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171115,2,SO2,5,2,4,3,8,7,2,2,5,6,11,3,4,2,5,9,4,2,2,2,2,3,2,2,3,3,2,8,4,6,6,5,5,11,21
20171115,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171115,2,NO2,63,55,66,69,71,74,66,48,13,72,82,36,60,63,74,87,55,29,29,30,21,55,2,7,48,9,8,74,55,40,75,63,68,81,86
20171115,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
