date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20170302,0,SO2,3,2,4,3,4,3,6,9,7,2,4,6,5,7,4,3,2,2,3,6,2,11,7,4,8,,2,4,3,10,3,2,6,8,8
20170302,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170302,0,NO2,33,21,31,29,39,23,79,39,28,47,40,27,45,61,46,37,7,9,19,32,15,76,15,4,38,,12,41,27,44,69,82,68,83,66
20170302,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170302,0,O3,51,47,52,52,75,65,14,40,48,37,45,42,48,30,50,58,89,66,87,49,83,5,83,82,57,,50,51,48,28,31,8,37,10,11
20170302,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170302,0,CO,0.4,0.4,0.5,0.4,0.3,0.4,0.6,0.8,0.8,0.4,1.4,0.7,0.6,0.4,0.5,0.5,0.3,0.6,0.5,0.8,0.5,1.5,0.4,0.3,0.6,,0.3,0.7,0.4,0.1,0.7,0.6,0.8,0.8,0.7
20170302,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170302,1,SO2,3,2,3,9,4,3,6,18,5,4,7,7,8,7,4,3,2,4,4,8,3,8,7,5,7,,2,3,3,16,6,5,5,12,18
20170302,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170302,1,NO2,38,35,26,67,49,33,85,61,29,71,62,56,65,65,54,65,14,28,55,40,30,70,19,30,38,,8,41,22,58,78,84,56,84,78
20170302,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170302,1,O3,33,29,51,16,57,52,7,17,40,14,21,17,25,21,41,27,80,28,48,39,47,8,71,40,56,,52,41,50,12,18,6,41,5,2
20170302,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170302,1,CO,0.4,0.5,0.7,0.8,0.3,0.5,0.7,1.5,0.8,0.6,1.4,0.7,0.7,0.4,0.5,0.7,0.4,0.8,0.6,1.1,1.2,1.6,0.7,0.6,0.6,,0.2,0.7,0.4,1.5,0.8,0.9,0.7,0.1,0.9
20170302,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
