date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20170722,0,SO2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,3,2,2,2,2,2,2,2,,,2,2,2,,
20170722,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,0,NO2,44,18,43,49,45,50,42,26,8,49,11,38,27,23,30,,69,61,18,20,33,30,17,13,36,31,43,39,,,49,48,54,,
20170722,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,0,O3,30,11,23,22,29,23,21,20,14,15,37,28,41,45,26,,2,4,41,24,29,24,29,21,22,22,2,18,,,22,17,17,,
20170722,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,0,CO,0.8,0.7,0.7,0.5,0.7,0.9,0.7,0.7,0.6,0.8,0.5,0.5,0.6,0.5,0.7,,0.8,0.5,0.5,0.5,0.6,0.7,0.5,0.5,0.5,0.5,0.3,0.7,,,0.7,0.5,0.5,,
20170722,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,1,SO2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,3,2,2,2,2,2,2,2,,,2,2,2,,
20170722,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,1,NO2,37,25,32,37,43,46,37,24,9,41,11,40,22,22,22,,69,50,17,23,21,31,31,12,36,30,40,41,,,41,32,46,,
20170722,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,1,O3,36,15,41,37,32,26,27,17,21,26,43,28,56,53,45,,2,6,49,17,31,20,8,18,11,21,2,11,,,35,38,23,,
20170722,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,1,CO,0.8,0.8,0.7,0.6,0.7,0.8,0.7,0.7,0.6,0.8,0.5,0.5,0.7,0.8,0.9,,0.9,0.5,0.5,0.6,0.6,0.7,0.5,0.5,0.5,0.5,0.3,0.7,,,0.7,0.5,0.5,,
20170722,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,2,SO2,2,2,3,2,2,8,2,2,2,2,2,2,3,2,2,,2,2,2,2,3,2,2,2,2,2,2,2,,,2,8,15,,
20170722,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,2,NO2,25,22,23,31,27,32,28,24,8,22,10,27,27,24,13,,68,51,7,31,43,36,42,21,41,30,34,47,,,34,26,33,,
20170722,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,2,O3,40,29,58,47,59,44,46,18,53,59,50,33,51,48,53,,2,2,79,8,16,12,2,5,6,17,2,9,,,45,44,41,,
20170722,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,2,CO,0.8,0.8,0.8,0.7,0.7,0.9,0.8,0.7,0.6,0.9,0.6,0.5,0.7,0.9,1.2,,0.9,0.5,0.4,0.6,0.6,0.7,0.5,0.5,0.5,0.6,0.3,0.8,,,0.7,0.6,0.6,,
20170722,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,3,SO2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,,2,2,2,2,3,2,2,2,2,2,2,2,,,2,8,3,,
20170722,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,3,NO2,27,16,23,24,29,34,21,17,7,23,8,17,24,23,17,,65,52,12,35,34,44,22,16,56,31,37,52,,,36,27,29,,
20170722,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,3,O3,34,37,57,51,60,41,58,40,83,59,56,38,60,41,50,,2,2,60,5,16,4,16,9,2,13,2,2,,,49,50,46,,
20170722,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,3,CO,0.7,1,0.7,0.8,0.6,0.8,0.5,0.7,0.6,0.7,0.5,0.4,0.7,0.9,1.1,,0.8,0.6,0.4,0.6,0.5,0.6,0.5,0.4,0.4,0.6,0.3,0.9,,,1,0.8,0.3,,
20170722,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,4,SO2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,4,2,2,2,2,2,2,2,,,3,8,2,,
20170722,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,4,NO2,26,15,20,21,28,33,20,25,6,25,7,14,22,23,20,,59,25,11,41,48,47,25,16,53,34,38,60,,,25,42,24,,
20170722,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,4,O3,45,25,58,56,,44,61,15,42,50,65,64,,31,41,,2,17,44,2,,2,4,13,13,10,2,2,,,,,,,
20170722,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,4,CO,0.7,0.9,0.7,0.6,0.6,0.9,0.4,0.7,0.5,0.7,0.5,0.3,0.6,0.8,1.1,,0.8,0.6,0.4,0.6,0.6,0.7,0.5,0.4,0.4,0.6,0.3,1.1,,,0.7,0.6,0.2,,
20170722,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,5,SO2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,4,2,2,2,2,2,2,2,,,3,8,2,,
20170722,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,5,NO2,24,15,16,29,16,22,17,28,7,30,6,20,26,22,36,,55,34,9,38,57,44,25,14,63,34,49,54,,,73,25,20,,
20170722,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170722,5,O3,48,24,61,44,71,48,56,11,37,48,44,54,49,41,29,,6,7,52,2,4,2,4,5,4,8,2,2,,,24,48,53,,
20170722,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
