date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20171216,0,SO2,3,2,2,2,2,3,2,,,2,2,,2,2,2,3,4,2,3,2,2,2,3,2,2,2,2,2,2,14,2,3,2,2,2
20171216,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171216,0,NO2,11,13,8,7,10,10,7,,,17,5,,13,12,10,11,10,10,8,5,2,3,2,5,7,2,14,10,12,48,12,13,14,23,2
20171216,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171216,0,O3,40,56,63,60,54,55,69,,,44,61,,54,49,58,61,66,57,76,63,65,65,65,70,57,67,50,66,52,30,64,38,61,46,52
20171216,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171216,0,CO,0.2,0.3,0.2,0.2,0.3,0.3,0.3,,,0.2,0.2,,0.2,0.4,0.2,0.3,0.1,0.4,0.1,0.4,0.2,0.1,0.3,0.2,0.1,0.2,0.3,0.1,0.2,2.7,0.2,0.3,0.5,0.3,0.1
20171216,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171216,1,SO2,2,2,2,2,2,2,2,,,2,2,2,,2,2,3,4,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2
20171216,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171216,1,NO2,8,14,9,6,10,10,7,,,13,3,5,9,7,9,13,8,21,7,5,2,3,2,6,22,2,10,10,18,8,11,14,9,22,2
20171216,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171216,1,O3,42,56,63,63,55,56,69,,,50,63,65,57,56,61,58,66,45,79,62,66,64,66,69,43,67,51,67,46,66,65,39,67,46,54
20171216,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
