date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20170427,0,PM2.5,18,15,13,,14,11,24,24,3,16,8,16,18,19,15,31,18,30,9,31,7,21,4,10,16,3,19,23,31,32,12,18,26,38,21
20170427,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170427,0,PM10,49,36,55,,34,55,68,,12,84,39,29,40,85,43,63,64,45,25,64,22,64,111,46,59,51,,47,43,82,52,72,79,80,64
20170427,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170427,0,AQI,49,36,53,27,34,53,59,34,27,67,39,29,40,68,43,57,57,45,25,57,28,57,81,46,55,51,27,47,44,66,51,61,65,65,57
20170427,1,PM2.5,16,19,9,319,17,19,11,28,9,33,6,15,19,26,23,32,19,15,14,28,8,33,19,16,20,9,10,22,27,39,34,15,32,,22
20170427,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170427,1,PM10,40,33,34,,33,72,32,,,75,49,26,70,92,47,68,65,23,16,30,18,110,,,36,49,23,35,42,,89,41,158,,69
20170427,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170427,1,AQI,40,33,34,369,33,61,47,40,28,63,49,26,60,71,49,59,58,27,24,40,28,80,35,23,36,49,23,40,42,55,70,44,104,,60
20170427,2,PM2.5,14,19,18,146,14,17,19,18,9,29,11,12,28,20,22,38,19,16,13,21,9,24,19,8,17,15,13,18,36,22,20,12,71,41,25
20170427,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170427,2,PM10,47,26,37,,23,71,78,,10,94,36,25,59,70,72,106,64,,22,31,17,99,56,16,54,23,22,32,48,32,37,25,147,75,49
20170427,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170427,2,AQI,47,27,37,194,30,61,64,30,26,72,36,25,55,60,61,78,57,23,24,31,27,75,53,20,52,23,22,45,51,32,47,36,99,63,49
20170427,3,PM2.5,13,22,9,49,9,26,12,19,7,35,14,12,19,22,27,42,18,15,9,22,9,24,16,17,15,16,18,19,27,21,16,12,75,41,18
20170427,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170427,3,PM10,21,,37,,35,60,78,,7,102,35,21,54,61,73,121,66,34,29,43,19,86,29,23,53,,,31,36,38,44,47,111,76,33
20170427,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170427,3,AQI,26,31,37,68,35,55,64,28,26,76,35,21,52,56,62,86,58,34,29,43,25,68,34,24,52,23,26,48,39,38,44,47,100,63,39
20170427,4,PM2.5,14,17,12,10,15,10,19,18,3,29,8,14,14,15,26,35,12,14,18,20,6,15,17,12,22,4,12,21,57,16,25,14,84,40,
20170427,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170427,4,PM10,33,22,55,50,31,44,26,,10,74,30,22,38,59,66,69,48,26,50,,20,54,57,25,67,,,34,60,,41,29,,80,
