date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20171029,0,PM2.5,5,3,6,3,3,5,5,3,5,7,12,5,3,5,3,3,4,3,6,6,3,3,10,3,6,3,3,11,4,4,3,6,10,,
20171029,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171029,0,PM10,18,22,13,10,11,8,11,17,11,18,,13,16,19,17,28,16,10,10,14,6,17,,6,18,8,6,27,20,13,15,14,16,16,32
20171029,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171029,0,AQI,18,22,16,15,17,17,14,17,17,18,19,14,17,19,18,28,16,17,18,19,17,17,20,19,18,19,16,27,20,18,18,14,16,16,32
20171029,1,PM2.5,3,6,3,6,3,3,6,3,9,6,13,6,8,3,4,,5,5,7,5,3,3,8,3,8,3,3,3,11,3,3,5,6,,
20171029,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171029,1,PM10,14,20,14,12,11,6,13,19,,18,17,7,21,19,20,,6,6,19,11,14,20,10,6,29,6,6,26,17,22,10,8,10,6,29
20171029,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171029,1,AQI,15,20,14,13,16,18,14,19,16,18,19,15,21,19,20,,12,17,19,19,15,20,19,19,29,19,16,26,17,22,17,10,13,13,29
20171029,2,PM2.5,4,3,5,3,3,4,3,6,5,5,10,6,5,6,3,3,4,9,11,8,3,6,9,5,9,7,3,7,3,8,9,6,8,,
20171029,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171029,2,PM10,10,23,17,21,8,6,13,19,7,14,13,9,16,14,16,9,6,12,16,9,6,,12,6,38,9,,27,15,29,15,12,14,10,17
20171029,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
