date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20170614,0,PM2.5,58,50,47,65,51,52,41,45,,60,37,51,37,47,60,64,52,31,41,48,29,43,51,40,38,53,31,50,40,,67,67,,,
20170614,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170614,0,PM10,73,62,100,,83,71,78,64,,110,88,112,111,81,67,74,82,40,55,60,38,98,81,42,56,,32,,44,,82,89,,,
20170614,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170614,0,AQI,79,69,75,88,70,71,64,63,,81,69,81,81,66,81,86,71,44,58,66,41,74,70,56,54,73,44,69,56,,90,90,,52,
20170614,1,PM2.5,62,52,55,75,54,52,38,46,,63,43,51,42,47,54,68,49,32,44,47,29,35,48,39,38,44,35,57,40,,68,70,,,
20170614,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170614,1,PM10,71,55,83,,82,59,81,51,,105,75,105,103,115,65,76,73,38,71,62,43,86,106,,63,,,72,,,69,,,,
20170614,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170614,1,AQI,84,71,75,100,74,71,66,64,,85,63,78,77,83,74,91,68,46,61,65,43,68,78,55,57,61,50,78,56,,91,94,,59,
20170614,2,PM2.5,68,56,49,74,55,58,40,39,,59,46,47,41,52,61,70,51,40,44,41,28,38,49,37,37,46,40,61,39,,69,73,,,
20170614,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170614,2,PM10,78,,82,,70,71,72,50,,103,66,99,127,104,,,70,,73,47,40,114,84,42,59,,,81,,,85,77,,,
20170614,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170614,2,AQI,91,76,68,99,75,79,61,55,,80,64,75,89,77,83,94,70,56,62,58,40,82,68,53,55,64,56,83,55,,93,98,,58,
20170614,3,PM2.5,69,54,56,64,49,62,36,39,,52,43,50,42,55,67,68,55,30,47,38,28,36,40,38,43,43,50,58,40,,83,77,,,
20170614,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
