date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20171005,0,SO2,16,2,2,14,8,14,5,2,3,8,4,3,2,12,2,4,,3,3,2,2,,10,2,2,2,,,8,2,14,17,6,21,12
20171005,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,0,NO2,37,32,36,39,38,32,50,44,33,48,40,48,50,36,37,39,,34,71,28,62,,22,19,44,18,,,17,62,46,58,50,59,35
20171005,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,0,O3,42,36,46,38,45,60,33,15,40,29,30,28,28,44,40,39,,37,6,43,2,,48,44,31,70,,,49,5,45,30,37,34,60
20171005,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,0,CO,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.8,0.7,0.7,0.4,0.6,0.3,,0.7,0.6,0.8,0.8,,0.7,0.6,0.7,0.6,,,0.5,0.7,0.6,0.5,0.5,0.6,0.5
20171005,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,1,SO2,12,3,2,9,6,10,4,2,2,6,3,2,2,8,2,6,2,2,2,2,2,2,9,2,4,2,,14,11,2,11,11,,15,11
20171005,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,1,NO2,34,33,34,38,34,30,56,34,35,54,35,54,46,35,38,42,79,29,54,21,50,49,22,19,70,18,,21,23,62,42,55,,55,29
20171005,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,1,O3,40,30,43,33,45,55,23,10,29,20,27,18,28,40,34,35,2,37,13,48,4,12,42,39,2,66,,62,32,6,44,25,,31,58
20171005,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,1,CO,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.8,0.7,0.6,0.4,0.6,0.3,0.7,0.7,0.6,0.8,0.9,0.7,0.7,0.6,0.8,0.6,,0.5,0.6,0.7,0.6,0.5,,0.6,0.5
20171005,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,2,SO2,10,2,2,8,6,9,2,2,2,5,2,2,2,5,2,9,2,2,2,2,2,2,9,2,5,2,,14,6,3,9,9,,13,9
20171005,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,2,NO2,37,33,35,37,40,32,65,31,35,53,43,60,37,37,41,38,75,22,59,19,34,47,21,17,71,18,,20,21,50,46,50,,61,30
20171005,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,2,O3,33,24,37,30,33,47,9,7,23,16,15,8,31,31,27,35,2,36,2,46,9,6,33,33,2,63,,52,26,13,34,24,,22,50
20171005,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,2,CO,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.8,0.7,0.8,0.7,0.7,0.5,0.6,0.3,0.7,0.8,0.6,0.7,0.7,0.7,0.6,0.6,0.8,0.5,,0.5,0.6,0.8,0.6,0.5,,0.6,0.6
20171005,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,3,SO2,9,2,2,6,6,9,2,2,2,5,2,2,2,3,2,8,2,2,2,2,2,2,8,2,5,2,,12,3,,7,8,,10,8
20171005,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,3,NO2,38,36,38,40,43,32,68,27,37,50,42,65,39,43,35,45,71,19,45,19,27,31,13,18,67,18,,23,19,,48,51,,62,31
20171005,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,3,O3,25,17,27,22,24,38,3,5,15,15,12,2,24,21,28,21,2,36,4,40,12,16,36,31,2,57,,42,19,,26,18,,14,40
20171005,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,3,CO,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.7,0.8,0.7,0.8,0.7,0.7,0.5,0.6,0.3,0.7,0.8,0.6,0.7,0.7,0.6,0.6,0.6,0.7,0.6,,0.5,0.6,,0.6,0.5,,0.6,0.6
20171005,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171005,4,SO2,8,2,2,5,4,6,2,2,2,4,2,2,2,2,2,6,2,2,2,2,2,2,8,2,2,2,,,2,2,6,6,,7,8
20171005,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
