date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20170329,0,SO2,6,2,3,3,3,7,2,3,2,5,2,3,4,9,19,28,5,2,3,6,4,3,5,2,6,,10,9,21,9,8,11,7,13,5
20170329,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170329,0,NO2,50,54,61,74,57,47,101,80,35,102,51,95,60,51,71,74,,11,68,44,45,78,72,22,95,,21,44,34,58,85,73,91,89,48
20170329,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170329,0,O3,40,30,30,16,36,49,2,4,37,2,32,18,37,40,45,36,2,,23,45,35,24,26,65,13,,62,54,58,40,29,29,31,13,41
20170329,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170329,0,CO,0.6,0.7,0.6,0.8,0.6,0.7,0.7,2.1,0.8,1,0.7,0.8,0.7,0.5,0.8,0.6,0.5,0.3,0.8,0.9,0.8,0.7,1.2,0.4,0.4,,0.4,0.6,0.6,0.6,0.8,0.6,0.9,0.7,0.6
20170329,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170329,3,SO2,7,3,3,4,3,8,2,2,2,6,2,3,5,11,14,15,7,3,2,4,3,2,7,2,8,,7,9,13,7,11,13,6,14,4
20170329,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170329,3,NO2,61,59,71,79,78,48,83,64,55,91,63,82,66,50,67,74,100,53,69,25,17,54,91,27,86,,22,46,30,55,92,70,108,80,47
20170329,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170329,3,O3,17,18,10,2,4,29,3,2,13,2,6,14,19,,28,19,2,32,13,55,51,21,2,47,4,,53,43,47,22,10,18,6,4,16
20170329,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170329,3,CO,0.8,0.8,0.7,0.9,0.7,0.8,0.8,1.6,0.7,0.9,0.7,0.8,0.8,0.6,0.8,0.6,0.6,0.9,0.5,0.6,0.5,0.6,1.3,0.4,0.4,,0.4,0.5,0.7,0.7,0.9,0.7,1,0.8,0.7
20170329,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170329,4,SO2,6,2,2,2,3,6,2,2,3,5,2,2,4,8,13,14,5,2,2,3,3,2,5,2,9,,7,9,7,7,10,10,6,11,10
20170329,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170329,4,NO2,65,56,74,76,92,54,83,61,48,82,54,79,62,,62,85,92,39,51,24,16,64,77,21,86,,24,51,25,74,96,81,101,84,66
20170329,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170329,4,O3,8,5,2,2,2,16,2,2,25,2,12,20,15,19,28,3,2,43,32,50,52,3,2,59,2,,45,24,37,,2,2,2,2,
20170329,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
