date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20171014,0,SO2,6,12,1,1,1,1,12,12,1,8,9,6,12,6,13,10,12,1,1,12,12,12,6,1,12,6,6,1,9,1,2,15,,10,8
20171014,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,0,NO2,82,62,84,82,72,95,59,44,7,97,56,87,69,75,93,83,32,40,34,23,17,47,57,4,61,21,11,41,22,47,80,95,,91,88
20171014,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,0,O3,9,12,12,1,1,9,13,1,72,9,36,6,24,1,12,1,30,26,33,36,30,8,13,61,6,44,56,12,9,12,6,9,,12,12
20171014,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,0,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,1,SO2,6,12,6,6,1,1,9,6,12,12,1,6,1,1,1,6,6,12,6,9,6,1,12,9,3,12,12,9,6,6,1,16,,6,13
20171014,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,1,NO2,56,50,67,69,55,67,56,40,12,62,57,79,72,71,90,65,29,58,51,46,14,28,41,10,74,15,8,47,10,41,66,80,,86,87
20171014,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,1,O3,20,8,6,10,10,20,6,12,70,17,28,1,19,6,12,9,33,4,23,15,30,30,7,57,1,41,51,12,12,6,7,9,,3,6
20171014,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,2,SO2,9,6,1,9,9,9,1,9,6,1,12,9,9,6,6,12,12,1,12,12,12,6,6,1,15,6,9,6,1,1,1,13,,1,10
20171014,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,2,NO2,50,47,57,44,59,54,58,30,21,60,37,66,60,57,75,68,30,30,50,46,33,23,23,14,72,22,15,52,25,28,60,72,,67,83
20171014,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,2,O3,8,19,9,23,2,27,1,6,57,15,42,12,16,12,9,12,38,42,23,17,26,46,22,49,9,43,49,12,1,12,20,1,,21,1
20171014,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,2,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,3,SO2,12,6,1,9,1,9,12,6,1,9,6,1,6,6,9,9,9,6,1,12,9,9,12,12,17,12,12,9,12,1,6,7,10,6,5
20171014,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,3,NO2,46,42,57,34,56,60,47,36,37,54,48,73,55,52,74,61,25,31,31,23,23,9,14,6,62,16,17,44,33,32,59,54,81,54,73
20171014,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171014,3,O3,16,16,13,26,22,25,6,6,36,23,40,1,18,18,12,1,41,39,39,40,22,47,38,55,6,39,52,6,1,12,16,11,9,28,12
20171014,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
