date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20170227,0,SO2,16,8,13,14,12,14,13,7,3,16,7,11,23,32,18,18,23,9,10,14,6,10,25,10,7,6,,35,,23,16,25,19,27,16
20170227,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170227,0,NO2,62,89,93,91,115,50,101,147,19,100,29,75,94,90,97,105,97,43,51,29,30,69,88,35,57,14,,123,,87,99,104,106,105,57
20170227,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170227,0,O3,20,3,2,4,2,39,2,3,47,2,51,4,5,5,2,3,2,31,28,40,43,4,22,40,18,39,,3,,2,8,3,2,2,24
20170227,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170227,0,CO,0.9,0.1,0.9,0.9,0.1,0.7,1.6,1.4,0.6,1.3,0.7,1.3,1.5,1.4,1.2,1.1,2.6,1.1,0.8,0.1,1.1,1.4,1.8,0.9,0.4,0.6,,0.4,,1.9,0.1,0.1,1.2,1.3,0.8
20170227,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170227,1,SO2,14,,12,12,16,11,11,10,3,14,7,9,22,30,25,21,21,7,10,11,5,8,21,7,8,6,,35,,28,7,20,20,23,18
20170227,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170227,1,NO2,73,,93,94,117,56,100,146,15,98,27,66,91,79,98,101,92,29,58,25,28,63,84,28,61,12,,105,,81,102,103,100,103,67
20170227,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170227,1,O3,7,,2,2,2,28,2,2,46,2,49,4,3,11,2,3,2,40,20,42,42,4,23,43,11,28,,2,,4,3,2,2,2,4
20170227,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170227,1,CO,0.1,,0.1,1.2,1.7,0.8,1.8,1.5,0.7,1.5,0.6,0.1,0.2,1.3,1.4,1.5,2.5,0.1,0.8,0.9,0.1,1.7,2.1,0.8,0.4,0.8,,0.5,,1.9,1.1,1.1,1.6,1.3,0.8
20170227,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170227,2,SO2,18,4,17,11,29,10,11,10,5,16,7,11,14,29,29,22,19,5,8,13,5,7,25,7,9,13,,28,,17,10,21,24,22,23
20170227,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170227,2,NO2,97,71,93,89,114,75,95,138,23,97,40,67,76,88,99,100,85,30,34,24,24,63,83,27,59,9,,100,,76,103,104,100,98,82
20170227,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
