date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20170901,0,SO2,5,2,4,2,2,3,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,4,3,2,2,,3,8,2,,2
20170901,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,0,NO2,29,27,34,40,33,35,39,29,25,60,20,45,32,29,26,,49,64,35,36,49,46,32,37,62,25,20,27,17,,47,35,53,,33
20170901,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,0,O3,59,54,50,37,60,57,38,36,28,25,33,31,54,55,55,,48,15,43,58,21,41,32,28,21,78,51,50,24,,48,55,38,,61
20170901,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,0,CO,1.5,1.2,1.4,1.4,1.1,1.4,1.5,0.9,1,1.7,1.5,1.6,1.7,1.2,1.4,,1,0.5,0.6,0.7,1.1,0.9,0.1,0.9,0.4,0.9,0.5,0.2,1.4,,1.4,1.2,1.3,,1.2
20170901,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,1,SO2,6,2,4,2,2,4,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,4,3,2,2,,3,8,2,,3
20170901,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,1,NO2,29,26,37,41,35,28,35,38,18,52,20,61,40,24,23,,47,60,20,28,49,31,21,31,51,23,16,17,13,,57,36,51,,33
20170901,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,1,O3,62,51,43,30,54,65,34,21,15,28,34,10,38,50,51,,38,11,54,60,18,52,43,18,8,67,37,54,19,,36,53,35,,65
20170901,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,1,CO,1.6,1.4,1.5,1.5,1.1,1.4,1.5,0.9,1,1.7,1.6,1.4,1.8,1.2,1.4,,1.1,0.7,0.5,0.7,1.1,0.9,0.1,0.9,0.4,0.9,0.5,0.3,1.5,,1.5,1.4,1.5,,1.2
20170901,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,2,SO2,5,2,3,2,4,3,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,7,3,,4
20170901,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,2,NO2,27,37,41,32,33,31,29,23,15,54,15,50,42,21,30,,59,64,17,26,65,43,35,24,62,25,13,22,14,,37,46,48,,40
20170901,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,2,O3,54,21,25,30,47,52,30,28,32,21,20,23,25,44,35,,14,2,56,48,2,31,27,43,2,55,39,23,12,,46,33,29,,49
20170901,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,2,CO,1.6,1.5,1.5,1.6,1.1,1.5,1.6,0.8,0.6,1.8,1.7,0.7,1.8,1.2,1.5,,1,0.7,0.4,0.8,0.9,1,0.1,0.9,0.5,0.9,0.5,0.3,1.5,,1.5,1.4,1.5,,1.4
20170901,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,3,SO2,5,2,3,2,3,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,5,4,,12
20170901,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,3,NO2,30,27,44,31,44,30,37,15,15,45,31,61,59,18,33,,66,57,20,31,57,58,27,39,50,23,12,35,13,,49,47,60,,97
20170901,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170901,3,O3,42,11,13,19,33,41,14,21,34,22,9,2,7,43,21,,2,2,48,33,2,7,23,13,7,56,36,3,6,,23,14,13,,2
20170901,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
