date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20170628,0,SO2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,7,10,2,2,8,4,10,2,2,2,6,15,8,2,,,5,2,23,
20170628,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,0,NO2,25,27,34,23,32,28,44,25,10,31,17,27,22,59,58,52,25,31,12,14,9,,22,7,66,10,18,69,9,,,37,39,73,
20170628,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,0,O3,113,107,99,122,111,146,88,106,116,110,112,122,135,88,99,82,118,100,153,127,121,158,80,122,36,172,128,57,122,,,119,98,90,
20170628,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,0,CO,0.5,0.5,0.5,0.4,0.3,0.3,0.3,0.1,0.2,0.4,0.5,0.4,0.4,0.4,0.5,0.8,0.8,0.1,0.5,0.8,0.7,0.7,0.3,0.1,0.4,0.9,0.5,0.9,0.5,,,0.3,0.3,0.4,
20170628,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,1,SO2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,8,2,2,7,,6,2,2,2,4,13,8,2,,,4,2,19,
20170628,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,1,NO2,36,25,40,27,61,50,41,28,12,62,16,28,30,54,59,43,27,60,8,10,,,19,10,74,10,18,61,15,,,40,44,73,
20170628,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,1,O3,89,86,83,95,73,95,85,81,90,58,95,113,107,94,83,86,108,59,141,130,,103,63,95,18,145,120,58,110,,,92,85,68,
20170628,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,1,CO,0.6,0.4,0.5,0.4,0.3,0.4,0.4,0.1,0.3,0.5,0.5,0.4,0.4,0.4,0.7,0.8,0.8,0.1,0.5,0.8,,0.8,4.4,0.1,0.4,0.9,0.5,0.8,0.6,,,0.4,0.4,0.4,
20170628,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,2,SO2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,4,7,10,2,2,4,4,6,2,2,2,5,14,6,3,,,3,3,9,
20170628,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,2,NO2,49,31,33,32,64,85,62,26,13,83,22,16,32,58,49,34,24,62,6,10,8,,47,7,82,8,16,51,17,,,53,39,61,
20170628,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,2,O3,47,58,85,75,58,38,53,63,67,20,90,101,94,61,73,90,102,48,133,120,96,90,14,82,3,130,101,61,64,,,61,80,61,
20170628,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,2,CO,0.6,0.5,0.4,0.4,0.3,0.6,0.3,0.1,0.3,0.5,0.5,0.4,0.3,0.4,0.8,0.8,0.8,0.1,0.5,0.8,0.7,0.8,1.3,0.1,0.4,0.9,0.7,0.8,0.6,,,0.4,0.3,0.4,
20170628,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,3,SO2,2,2,2,,2,7,2,2,2,2,2,2,2,2,4,8,15,2,2,5,3,4,2,2,2,5,17,6,2,,,2,2,10,
20170628,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,3,NO2,53,34,48,,60,75,69,27,13,86,21,24,33,82,37,27,25,20,10,12,7,44,56,8,72,8,26,41,14,,,43,61,53,
20170628,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,3,O3,28,57,64,,51,38,40,52,73,2,76,71,87,32,79,87,94,88,114,110,85,73,2,87,2,112,66,62,44,,,63,62,61,
20170628,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,3,CO,0.7,0.7,0.5,,0.4,0.8,0.4,0.6,0.3,0.5,0.5,0.4,0.4,0.4,0.9,0.9,0.9,0.3,0.5,0.9,0.7,0.8,0.4,0.3,0.4,0.9,1.2,0.8,0.6,,,1.1,0.6,0.4,
20170628,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,4,SO2,4,5,2,4,2,7,2,2,2,2,2,2,2,2,4,10,17,2,2,8,2,4,2,2,2,,17,5,2,,6,5,2,11,
20170628,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,4,NO2,50,25,49,33,59,70,98,34,14,51,21,28,45,95,37,33,32,60,10,16,5,40,35,8,70,,29,42,15,,52,39,76,48,
20170628,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,4,O3,40,59,44,57,,41,18,45,80,38,66,81,,6,65,54,66,26,101,82,,64,21,74,11,,61,51,39,,,,,54,
20170628,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,4,CO,0.7,0.7,0.6,0.8,0.5,0.8,0.5,0.6,0.3,0.6,0.5,0.4,0.5,0.7,0.8,1.2,1,0.4,0.5,1.3,0.7,0.8,0.3,0.3,0.4,,1.5,1,0.7,,0.8,0.7,0.4,0.7,
20170628,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,5,SO2,4,3,2,5,3,,2,2,2,2,2,2,2,2,5,11,18,2,2,11,,4,2,2,2,2,16,5,2,,7,5,2,9,
20170628,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,5,NO2,49,32,67,31,77,,64,27,15,70,18,17,42,63,58,41,38,51,11,25,,41,46,11,74,7,29,69,14,,69,40,82,48,
20170628,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,5,O3,40,38,26,52,18,,31,29,93,16,64,94,51,17,34,44,58,39,90,69,,56,7,57,2,83,55,20,26,,29,42,19,41,
20170628,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,5,CO,1,0.8,0.5,1,0.7,,0.4,0.6,0.3,0.6,0.5,0.4,0.5,0.7,1.1,1.5,1.3,0.4,0.5,1.8,,0.8,0.3,0.4,0.4,0.9,1.8,1.3,0.8,,1,1,0.3,0.7,
20170628,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,6,SO2,3,6,2,6,8,14,2,2,2,2,2,2,2,,6,12,20,2,2,11,2,4,2,2,2,2,17,5,2,,8,7,2,11,
20170628,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,6,NO2,53,40,72,40,43,64,50,25,27,64,20,26,48,,47,49,39,30,14,27,4,88,28,14,67,6,25,68,14,,73,52,90,70,
20170628,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,6,O3,26,32,21,38,45,25,40,23,71,25,54,82,53,,45,41,54,60,77,69,80,2,21,51,2,71,63,21,36,,21,30,9,20,
20170628,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,6,CO,1.4,1.1,0.6,1.2,1.3,1.3,0.5,0.7,0.5,0.6,0.5,0.5,0.5,,1.4,1.9,1.7,0.5,0.6,1.8,0.7,1,0.3,0.4,0.5,0.9,1.7,1.5,0.9,,1.1,1.8,0.4,1,
20170628,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,7,SO2,2,8,4,10,9,20,2,2,2,2,2,2,2,6,8,17,20,2,2,14,2,5,2,2,2,3,19,11,2,,11,11,3,11,
20170628,7,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,7,NO2,49,41,72,47,51,53,56,27,25,62,23,46,50,44,44,49,49,31,16,25,5,86,30,17,46,6,22,57,14,,70,68,85,74,
20170628,7,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,7,O3,32,35,17,31,42,43,31,39,66,20,55,58,51,37,56,45,41,52,71,76,69,4,24,49,32,64,70,36,41,,24,24,10,18,
20170628,7,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,7,CO,1.6,1.2,0.8,1.4,1.6,1.6,0.6,0.7,0.6,0.8,0.6,0.6,0.5,1.1,1.7,2.3,1.7,0.7,0.6,1.7,0.8,0.9,0.3,0.5,0.6,0.9,1.6,1.9,1.1,,1.4,1.5,1.1,1.3,
20170628,7,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,8,SO2,2,10,11,14,11,27,2,2,2,2,2,5,2,11,12,23,23,8,2,18,2,8,2,2,2,4,20,21,2,,15,17,2,12,
20170628,8,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,8,NO2,43,54,54,47,50,48,61,33,21,65,33,56,53,42,40,48,40,31,19,25,7,87,31,18,34,6,17,58,14,,58,74,67,90,
20170628,8,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,8,O3,51,32,41,43,57,66,30,46,77,20,51,66,47,51,75,60,65,73,75,85,67,12,42,67,48,90,94,46,47,,44,33,28,20,
20170628,8,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,8,CO,1.9,1.4,1.6,1.5,1.8,1.8,0.9,0.7,0.6,1.2,0.8,1,0.7,1.3,2.1,2.4,1.7,1,0.7,1.8,0.8,1,0.4,0.6,0.5,0.8,1.4,2.2,1.3,,1.6,1.4,1.5,1.5,
20170628,8,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,9,SO2,2,14,17,18,11,31,7,3,2,3,5,8,3,17,17,25,23,15,5,18,,12,3,7,2,6,21,27,2,,21,24,3,15,
20170628,9,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,9,NO2,43,59,56,41,50,47,62,42,23,63,29,46,56,40,43,39,30,28,21,22,,54,23,23,25,5,18,57,15,,53,75,70,78,
20170628,9,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,9,O3,69,43,60,73,63,89,42,62,81,37,80,96,60,73,88,83,93,99,101,110,,61,75,97,81,101,105,61,60,,71,44,40,31,
20170628,9,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,9,CO,2,1.6,1.9,1.7,1.6,1.8,1.1,1.1,0.7,1.5,1.1,1,1,1.5,2.2,2.2,1.7,1.4,0.9,1.7,,1.2,0.6,1,0.7,0.8,1.6,2.2,1.4,,1.8,1.7,1.7,1.7,
20170628,9,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,10,SO2,2,,18,,9,28,10,8,2,4,9,9,7,18,21,26,22,14,7,22,8,18,3,7,2,8,28,28,2,,22,27,5,18,
20170628,10,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,10,NO2,46,,53,,55,53,61,43,21,58,28,44,53,41,38,37,27,27,25,22,8,28,22,20,35,4,26,55,14,,54,75,78,88,
20170628,10,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,10,O3,80,,80,,68,95,59,89,99,69,105,123,87,96,124,108,128,113,112,136,118,116,94,109,64,122,113,86,90,,87,64,41,48,
20170628,10,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,10,CO,2,,1.9,,1.5,1.8,1.1,1.4,0.9,1.8,1.1,0.9,1.2,1.5,2.1,2.1,1.6,1.4,1,1.7,1.8,1.2,0.7,1.1,0.7,0.9,2.2,2.3,1.4,,1.9,2.1,1.6,2,
20170628,10,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,11,SO2,2,19,18,20,12,27,11,7,2,5,7,7,8,21,22,28,21,14,6,20,8,16,3,9,2,14,29,28,2,,24,30,8,25,
20170628,11,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,11,NO2,44,48,54,47,49,49,62,43,19,49,31,45,57,37,36,31,24,28,25,24,7,31,30,18,36,5,22,48,12,,69,,101,98,
20170628,11,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,11,O3,112,100,104,113,104,139,79,97,113,116,124,149,116,134,175,159,168,134,111,165,158,150,73,138,73,159,156,141,131,,102,96,53,66,
20170628,11,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,11,CO,1.9,1.7,1.7,2,1.7,1.7,1.1,1.5,0.9,1.9,1.2,0.9,1.3,1.6,2,2,1.6,1.4,1,2,1.2,1.1,0.7,1.2,0.8,1,1.8,2.3,1.5,,2,1.9,1.6,2.1,
20170628,11,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,12,SO2,2,16,14,16,12,23,6,,2,3,6,5,6,18,22,,23,10,6,23,7,16,4,4,2,15,24,25,2,,21,26,6,35,
20170628,12,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,12,NO2,45,38,60,47,47,43,50,,19,52,32,49,71,34,33,,23,53,27,25,7,26,29,25,34,,19,38,11,,54,,88,118,
20170628,12,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170628,12,O3,151,142,112,145,144,202,85,,104,134,131,144,117,185,239,,227,91,115,189,189,186,84,115,88,200,184,193,171,,161,143,76,77,
20170628,12,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
