date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20180216,0,SO2,53,45,49,55,47,68,25,7,,57,64,34,70,126,75,71,46,25,18,26,11,13,20,11,8,6,45,36,96,26,62,67,35,,55
20180216,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,0,NO2,63,58,62,63,85,58,65,32,,84,31,51,61,63,63,48,48,40,22,20,20,30,33,16,15,18,24,58,103,23,84,69,75,,60
20180216,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,0,O3,31,34,32,29,10,45,33,27,,17,66,32,33,24,44,48,44,41,60,67,53,50,41,70,73,69,82,108,11,52,23,12,23,,37
20180216,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,0,CO,1.4,1.4,1.3,1.6,1.4,1.5,0.8,1.8,,1.7,1.3,1.1,1.7,1.8,1.5,1.6,1.8,1.5,1,1.2,0.9,1.2,1.5,0.8,0.4,0.8,0.9,1.4,1.9,1.2,1.7,1.6,1.2,,1.4
20180216,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,1,SO2,39,34,37,52,52,51,32,11,,50,33,85,70,167,84,72,48,44,,70,30,45,,17,39,7,43,42,137,134,43,47,36,63,36
20180216,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,1,NO2,82,52,60,63,78,74,52,36,,89,23,58,70,77,67,50,43,27,19,33,24,46,52,16,44,18,24,49,106,57,78,80,83,87,73
20180216,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,1,O3,7,26,24,26,14,23,43,19,,11,60,23,19,9,38,40,43,54,60,52,51,25,17,60,36,70,80,108,11,24,19,2,10,8,15
20180216,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,1,CO,1.3,1.6,1.2,1.6,1.6,1.5,0.7,1.8,,1.8,0.9,1.1,1.7,2,1.6,1.6,1.9,0.8,1,1.4,1,1.2,2.6,0.7,0.5,0.8,0.9,1.2,2.1,1.5,1.4,1.7,1.5,2,1.6
20180216,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,2,SO2,43,30,37,31,57,42,40,20,,27,21,54,81,148,100,102,76,39,,56,32,32,,18,29,6,45,43,142,142,37,31,39,52,45
20180216,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,2,NO2,74,74,56,56,56,83,54,35,,68,20,45,76,76,87,60,56,25,21,36,20,50,60,16,39,16,26,54,104,64,87,78,70,87,80
20180216,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,2,O3,11,8,28,24,31,10,39,17,,20,54,30,9,6,20,26,25,55,58,45,54,21,10,62,35,72,71,103,12,13,8,2,23,5,7
20180216,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,2,CO,1.4,1.5,1.1,1.3,1.4,1.6,0.8,1.8,,1.3,0.9,1,1.3,2.1,1.8,1.6,1.6,0.9,,1.6,1,1.9,,0.8,0.6,0.8,1.1,1.6,2.3,3,1.5,1.6,1.3,1.9,1.7
20180216,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,3,SO2,58,40,41,38,70,67,46,64,,26,23,38,40,91,94,84,91,39,22,51,26,20,107,11,17,7,40,35,142,133,51,49,41,,53
20180216,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,3,NO2,56,56,51,55,51,62,56,55,,42,24,49,52,73,92,80,59,43,16,39,19,39,57,13,25,18,27,65,98,68,60,66,53,,68
20180216,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,3,O3,26,28,35,26,35,23,34,7,,41,48,29,30,5,12,3,22,33,,36,54,31,9,66,50,66,62,96,10,12,30,9,39,,13
20180216,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,3,CO,1.5,1.4,1.1,1.3,1.5,1.6,0.9,2.2,,1.1,0.8,0.9,1,2,1.9,1.9,1.4,1.8,,1.9,1,2.2,,0.8,0.8,0.9,1.1,1.6,2.4,2.7,1.4,1.4,1.2,,1.6
20180216,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,4,SO2,57,26,44,34,57,70,51,40,,24,26,47,27,45,51,83,65,29,15,53,26,12,62,11,26,25,37,47,109,80,50,50,41,53,54
20180216,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,4,NO2,56,51,50,43,42,59,61,49,,35,26,65,47,62,95,82,63,29,,38,22,32,48,14,37,22,26,63,86,48,56,57,57,56,70
20180216,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,4,O3,26,21,36,38,43,23,26,7,,49,50,14,37,18,5,2,18,47,,32,48,39,13,59,34,78,55,109,7,29,32,12,34,26,7
20180216,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,4,CO,1.3,1.4,1.1,1.1,1.2,1.5,0.8,2,,0.9,0.8,1,1,1.5,1.8,2.1,1.6,1.5,0.9,2,1,1.7,2.2,1.2,1,1.1,1.1,1.7,2.5,2.5,1.4,1.4,1.1,1.4,1.6
20180216,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,5,SO2,39,30,34,24,42,64,40,35,,26,27,29,24,39,49,78,37,20,12,35,25,10,68,10,37,17,41,37,146,66,41,41,36,38,40
20180216,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,5,NO2,36,40,44,31,39,57,50,49,,32,30,44,53,54,88,75,60,23,,31,18,27,50,13,38,21,25,68,93,42,47,51,57,64,75
20180216,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180216,5,O3,48,41,39,49,44,26,37,6,,48,48,29,25,23,7,4,17,53,64,36,49,42,10,55,32,77,61,108,8,30,41,18,32,21,2
20180216,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
