date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20180424,0,PM2.5,32,24,27,32,29,33,33,28,,43,19,36,35,29,25,33,23,20,21,24,15,19,34,15,26,15,29,34,40,3,3,30,42,35,35
20180424,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180424,0,PM10,62,49,62,70,50,71,89,106,,92,21,94,111,73,58,73,49,29,44,33,19,39,119,,80,,35,48,62,86,111,89,108,101,66
20180424,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180424,0,AQI,56,49,56,60,50,61,70,78,,71,27,72,81,62,54,62,49,29,44,34,21,39,85,21,65,23,41,49,56,68,81,81,79,76,58
20180424,1,PM2.5,32,26,34,32,28,33,30,29,,50,22,32,32,35,28,30,26,14,19,18,15,21,23,15,26,18,29,40,39,3,25,37,51,40,41
20180424,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180424,1,PM10,77,39,63,71,60,80,57,95,,110,32,88,103,78,70,81,,37,35,,28,29,65,28,90,,30,43,52,65,95,81,128,102,102
20180424,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180424,1,AQI,64,39,57,61,55,65,54,73,,80,32,69,77,64,60,66,37,37,35,26,28,30,58,28,70,26,41,56,55,58,73,77,89,76,76
20180424,2,PM2.5,32,28,36,37,26,37,25,23,,60,24,27,38,39,36,29,27,12,15,15,20,19,19,13,26,20,27,37,48,3,12,36,47,47,44
20180424,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180424,2,PM10,74,42,61,85,50,82,79,91,,157,,36,122,109,101,70,31,,25,,26,37,56,16,74,26,,65,56,58,110,64,77,132,101
20180424,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180424,2,AQI,62,42,56,68,51,66,65,71,,104,34,39,86,80,76,60,43,22,25,21,29,37,53,19,62,29,39,58,66,54,80,63,65,91,76
