date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20180114,0,SO2,21,4,19,13,22,17,18,7,,15,20,12,,10,7,21,16,40,18,15,13,9,,38,16,9,25,12,4,53,13,15,16,20,20
20180114,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180114,0,NO2,110,101,105,105,105,109,118,84,,105,115,111,,106,97,98,94,98,107,86,94,82,,107,116,88,85,95,65,100,108,92,109,116,112
20180114,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180114,0,O3,4,2,4,4,3,13,5,2,,2,2,5,,2,6,2,4,4,2,2,2,2,,4,2,2,6,6,4,8,2,3,5,4,2
20180114,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180114,0,CO,2.6,2.5,2.5,2.7,2.9,2.8,2.6,2.7,,2.7,2.7,2.7,,3.1,2.6,2.6,2.7,4.7,3,2.3,2.4,3.8,,2.7,2,2.4,1.7,2.2,2.9,7.8,2.4,2.7,2.6,2.7,3.1
20180114,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180114,1,SO2,20,3,23,11,18,20,23,8,,13,21,14,,8,7,23,17,35,14,14,13,10,25,61,11,7,26,10,4,42,11,16,18,15,19
20180114,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180114,1,NO2,106,91,112,98,102,103,118,84,,109,109,114,,100,92,94,97,100,106,81,82,83,97,100,116,85,77,93,64,109,103,85,115,109,103
20180114,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180114,1,O3,4,2,5,2,3,12,5,2,,2,2,2,,2,5,2,5,2,2,3,2,2,2,6,2,2,11,5,4,5,2,3,6,4,2
20180114,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180114,1,CO,2.8,2.2,2.9,2.2,2.8,2.6,2.6,3,,3.1,2.5,2.8,,2.9,2.3,2.5,3,3.9,2.6,2.1,2,3.4,2.5,3.7,2,2.4,1.5,1.9,3.2,4.6,2.1,2.3,3,2.5,2.8
20180114,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180114,2,SO2,21,2,29,9,14,15,21,4,,17,20,12,,7,7,26,16,20,14,14,7,8,20,24,15,6,26,7,3,33,9,6,13,11,16
20180114,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180114,2,NO2,101,86,115,97,101,98,112,77,,108,106,118,,97,90,93,96,101,107,70,60,81,95,89,113,84,76,92,64,104,107,76,110,102,100
20180114,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180114,2,O3,2,2,5,2,3,11,5,2,,2,2,2,,2,5,2,5,2,2,7,2,2,2,4,2,2,8,6,4,6,2,3,6,3,2
