date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20180221,0,PM2.5,54,78,57,86,55,65,34,62,,69,54,36,138,106,130,57,53,11,31,41,25,38,60,10,26,16,25,99,144,108,73,95,58,,37
20180221,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,0,PM10,,84,,91,,,57,,,80,,52,,129,,65,70,25,39,,29,,97,17,49,,28,104,177,111,,,61,,78
20180221,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,0,AQI,74,104,78,114,75,88,54,84,,93,74,51,183,139,171,78,73,25,44,58,36,54,81,27,49,23,36,130,191,141,98,125,79,,64
20180221,1,PM2.5,40,93,43,82,64,62,56,45,,66,31,20,99,124,142,56,39,11,26,36,10,34,35,5,17,11,77,,152,103,53,79,47,,34
20180221,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,1,PM10,,,,,68,70,68,59,,,,40,,148,,68,46,24,43,,19,,57,20,34,18,87,,182,,,,53,,98
20180221,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,1,AQI,56,123,60,109,86,84,76,63,,89,44,40,130,163,189,76,55,24,43,51,22,49,54,26,34,23,103,,202,135,73,105,65,,74
20180221,2,PM2.5,37,42,34,32,48,56,33,32,,47,22,67,68,106,104,56,30,8,22,69,24,46,30,5,18,11,99,138,168,110,31,34,47,58,34
20180221,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,2,PM10,44,,46,,51,67,45,52,,,,,70,121,,72,31,15,32,,27,,42,16,32,17,,139,195,,,,51,108,98
20180221,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,2,AQI,53,59,49,46,66,76,47,51,,65,31,90,91,139,136,76,43,23,32,93,34,64,43,26,32,22,130,183,218,144,44,49,65,79,74
20180221,3,PM2.5,32,33,24,28,38,48,22,40,,31,17,34,62,96,66,75,34,6,17,73,20,26,32,3,18,12,60,144,178,108,41,31,37,23,36
20180221,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,3,PM10,43,35,39,29,47,54,34,53,,,25,34,,107,,125,48,14,27,,27,,48,17,34,17,,150,201,,,,43,67,91
20180221,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,3,AQI,46,47,39,40,54,66,34,56,,44,25,49,84,126,89,100,49,14,27,98,29,37,48,17,34,17,81,191,228,141,58,44,53,59,71
20180221,4,PM2.5,28,27,18,18,34,41,21,13,,14,13,18,85,91,71,111,54,4,15,43,20,23,23,9,15,19,37,135,183,108,66,27,22,35,38
20180221,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,4,PM10,44,31,26,19,46,48,33,39,,28,19,35,100,98,,165,,15,20,,,24,42,18,31,22,,,207,,,28,31,75,82
20180221,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,4,AQI,44,39,26,26,49,58,33,39,,28,23,35,113,120,95,145,74,15,21,60,29,33,42,18,31,27,53,179,233,141,89,39,31,63,66
20180221,5,PM2.5,19,25,18,18,23,48,15,35,,16,16,10,113,87,106,118,79,7,16,44,16,22,23,5,17,8,67,131,184,121,48,29,19,38,44
20180221,5,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,5,PM10,26,37,20,,29,58,23,50,,22,34,17,122,99,,149,90,18,18,,32,,38,18,31,26,,132,200,,,36,30,79,92
20180221,5,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,5,AQI,27,37,26,26,33,66,23,50,,23,34,20,148,115,139,154,105,20,23,61,32,31,38,20,31,26,90,173,234,159,66,41,30,65,71
20180221,6,PM2.5,16,47,11,30,13,63,16,41,,24,36,11,105,100,131,111,85,12,13,44,17,22,30,13,16,12,54,140,183,106,36,66,20,,71
20180221,6,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,6,PM10,28,52,26,54,13,85,25,,,38,56,22,110,115,,137,93,17,16,,30,,42,24,33,,,141,205,,60,67,25,,98
20180221,6,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,6,AQI,28,65,26,52,19,85,25,58,,39,53,22,138,131,173,145,113,20,20,61,30,31,43,24,33,23,74,186,233,139,55,89,29,,95
20180221,7,PM2.5,39,70,12,60,15,80,16,,,61,28,13,70,114,141,112,81,14,9,49,17,22,26,16,24,16,37,148,183,70,79,85,16,68,
20180221,7,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,7,PM10,55,88,26,93,28,117,28,,,,,31,,133,,137,,21,20,,29,24,39,23,38,17,,,197,,91,88,30,96,
20180221,7,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,7,AQI,55,94,29,81,33,106,30,,,83,40,31,94,149,187,146,108,21,20,68,29,31,39,23,38,23,53,197,233,94,105,113,37,91,
20180221,8,PM2.5,55,86,13,78,29,96,19,14,,50,29,13,44,119,151,114,66,15,7,53,16,24,23,20,24,24,44,146,187,84,101,100,23,97,136
20180221,8,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,8,PM10,71,103,28,97,52,126,37,35,,81,42,29,,137,,143,,31,22,,24,28,40,30,41,,47,147,199,,113,102,54,114,
20180221,8,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180221,8,AQI,75,114,31,104,51,126,37,35,,69,42,29,61,156,201,149,89,31,22,73,24,34,40,30,41,34,61,194,237,111,133,131,52,128,180
